wallet_id,tx_hash,from_address,to_address,value,timestamp,gas_used,successful
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x1c61798644a09960097e8d16570248b3e899e5437ca3ef15febcf67a10a4017d,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0.0,1567451347,389445,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x10502e18d5ea58f3764f23ccb179d2df8ece67558e873b9a22e42f5a0430e5b8,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,1567451374,49853,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x6783c11bafa3865f980e26cfa29af19c9b114473a4e39dadcb8d3a32cae3188b,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,1567452423,39669,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x3703dbfc7075fda1f753b6813dd80b27298af7063590ba2dcca9ff0b5930545d,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,100.0,1567452519,103669,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xcac4ca8b91a33e216c1c94f6fcc8482ef512a185bcc5a83396a67d518b00b6aa,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x39aa39c021dfbae8fac545936693ac917d5e7563,0.0,1567452595,343438,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x4daf319f3db8364843792afb9e88712aeca79f263599c6761a417bc28d0249a0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,1567452878,39669,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x4222b4ec01ba08cbc4d02b349a76dc468ecb64a108f939818e369f61dbde2c5b,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x39aa39c021dfbae8fac545936693ac917d5e7563,0.0,1568440161,114632,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x54f30f06c66bb76a821fa5bb1f65307650bcc28b6b7f3c9c28cec928275e426f,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,100.00057654106875,1568440263,0,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x8777530066fdd9be3b688072f0c42dfc0599fa5c9d036dc96a247d20a4dd59d5,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,1568941269,49853,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x1db94516b15e08a8f39f69430e1202091ab97358befbc1719a7d8cfdc21bb5ad,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,1568941817,47869,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x0a857702bd2cff0bef9a1c94502c93754d7684a2d2375b50724694d38e93172b,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,1573097916,39733,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x9eb75d4d441ba70fe29634f8448a3777b47701d8b44d36c82b98a929e54065c3,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,1581371761,51634,False
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x2fa4b9b485d07b7db72ae31c78d13487a634683d75e99d688d6cf1f58a96c4bf,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,1581371833,43013,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa61c0573879b35386a9f3d75dafa541f0a6334e73572ece5cbbfb5f4a9915134,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,1581372187,28025,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xcbb2e990b3aa7603b4c07fa974cfecee93b5aec29cbb63c4d8fe6a33f5f27aaf,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,1587752866,49593,True
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xee7e26c3ec9467a13807d6f1f87f67bec74bd9553bbed432961b0a49273fe591,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,1589350455,49941,True
